,SHAP value
ENO,0.00013723703541877494
PGK,0.00013452316345020045
PGM,0.00013446529281449743
GAPD,0.00013439878678823136
FACOAE160,0.00012875157401608288
ACACT3r,0.00012869821387806015
ACOAD5f,0.00012848004833414757
SHCHD2,0.00012847091825049788
DHAD2,0.00012831729819552212
ACOAD6f,0.0001282770956938426
SERAT,0.00012824025718535765
UPP3MT,0.0001281960980538047
ACOAD1fr,0.00012815140350412252
HACD4,0.00012810096157423676
UAMAGS,0.000128086171913635
ADSL1r,0.0001280424426150593
CTECOAI7,0.00012802627219609655
ECOAH6,0.0001279666416856847
FACOAE161,0.0001279572860001062
UDCPDP,0.00012790229497836421
AACPS4,0.00012789146513260814
ACACT7r,0.00012786127834046515
G1PACT,0.00012776498540362672
DHQS,0.00012770531728201664
GLUTRR,0.00012767583870590548
EPMEACPR,0.00012766267437432517
I2FE2SS2,0.00012765994285985098
ECOAH4,0.00012765087962303607
PPA,0.00012764904321015493
ACOAD4f,0.00012761920490289994
KARA1,0.00012761774681078103
CYSTL,0.00012746731542694008
G5SADs,0.00012743613286666396
FACOAE120,0.00012743152651125629
DHDPS,0.0001273709586287198
DHFR,0.0001273340205161968
HACD3,0.00012727334710535256
QULNS,0.00012726111982285302
SADT2,0.00012724771750349378
HISTD,0.0001272466959598828
PERD,0.00012724140510643502
TRPS3,0.00012721613051962054
PAPPT3,0.00012717780355229292
GLUPRT,0.0001270887302112007
DPR,0.00012707867071935818
GTPCI,0.00012707290219913036
DUTPDP,0.0001270679780160306
MOAT2,0.00012703716089648698
DAPE,0.00012703117053684628
SDPDS,0.00012699332466354127
GLUR,0.00012698983183821697
OPHBDC,0.00012695018599369229
SHKK,0.00012693911053730325
PMPK,0.00012693634394069647
IPMD,0.00012691914534124102
IGPS,0.0001269055731311362
PRATPP,0.00012687650739550468
PRAIS,0.00012687315549428222
AMAOTr,0.00012685848435894432
CHORS,0.00012685344828198042
ACGK,0.00012683853462585394
ACACT6r,0.00012683723781066022
GLUTRS,0.00012681138657752322
MTHFC,0.00012681031470863834
DMPPS,0.00012680476711304399
GLNS,0.00012677976236455483
GRTT,0.0001267723840171369
DB4PS,0.00012677134905683004
OGMEACPR,0.0001267613599658495
4HTHRK,0.00012675403056186478
ECOAH7,0.00012672848349320128
UAAGDS,0.00012672794444397554
ADSL2r,0.00012671825953899306
ACACT4r,0.00012670314335066864
HACD1,0.00012669380148219869
UAGCVT,0.00012664912404696427
SHK3Dr,0.00012662454709917655
BTS5,0.0001266199944621233
ACACT5r,0.00012661194979790162
PTPATi,0.00012660909319959097
E4PD,0.000126601181024257
MECDPS,0.00012660100202115625
OPMEACPD,0.0001265911859667193
MTHFD,0.00012657473785833545
SHCHF,0.00012657269864790004
ILETA,0.00012656732759957242
HACD5,0.00012654206319696396
TRPAS2,0.0001265399654471506
PANTS,0.0001265136315561258
PPCDC,0.0001265053521712544
ACACT1r,0.0001264970119630345
ACGS,0.00012647245773813334
GTPCII2,0.00012646623984556728
TMPK,0.00012646554016718477
HMBS,0.00012646361908161846
KDOCT2,0.00012645258258563668
DPCOAK,0.0001264356423592764
ASPCT,0.000126396927616406
ALAALAr,0.00012639011890728253
G3PD2,0.00012638323712451082
DBTS,0.00012637435667980403
ACACT2r,0.00012636903828572494
AMPMS2,0.0001263563763563242
PRAIi,0.0001263207819626515
DHFS,0.0001263166820919829
ECOAH2,0.00012631323544638908
