,SHAP value
EGMEACPR,7.435311486355419e-05
CHRPL,7.435159381046264e-05
FMNAT,7.434403632368099e-05
TYRTA,7.431943215831176e-05
ADCL,7.431396777492621e-05
DUTPDP,7.430921450402765e-05
ACLS,7.429394397190771e-05
SHK3Dr,7.428730268636057e-05
OPMEACPD,7.42760580416228e-05
FESD1s,7.427123099118898e-05
KDOPS,7.426713855225834e-05
PRASCSi,7.425291706662355e-05
GMPS,7.424002627411176e-05
ADSL1r,7.422809775383185e-05
SERAT,7.422013473743722e-05
PRAIi,7.420321769123275e-05
HBZOPT,7.419514195831632e-05
AGPR,7.416974205646992e-05
ICYSDS,7.415286829890358e-05
OGMEACPS,7.414351164702683e-05
DASYN160,7.412731316342223e-05
G1SAT,7.410965773850246e-05
KDOPP,7.410725182472547e-05
PUNP1,7.409848200111884e-05
I4FE4SR,7.40912466291237e-05
SULR,7.404916400335377e-05
UAGAAT,7.40431099968932e-05
CBMKr,7.400759225083289e-05
PRATPP,7.400666068886567e-05
OGMEACPR,7.398744959843614e-05
GLUR,7.397454921389556e-05
I2FE2ST,7.397311874944468e-05
RPE,7.397056218864801e-05
GLUTRR,7.396187305434695e-05
DHQTi,7.395379467760408e-05
SDPDS,7.393767950863875e-05
FCLT,7.393655433841398e-05
DHORD2,7.391077071229474e-05
I4FE4ST,7.390885318614407e-05
VPAMTr,7.390259352768941e-05
GTPCII2,7.389472624043124e-05
ICL,7.388512921050897e-05
U23GAAT,7.387648277814459e-05
OPMEACPS,7.38711299608565e-05
PNTK,7.38514976217013e-05
AMPMS2,7.385138268893166e-05
ECOAH7,7.384781152767579e-05
ASPCT,7.384372763248397e-05
OMCDC,7.384356371373095e-05
PPCK,7.381127329670871e-05
DHQS,7.380381258731613e-05
DBTS,7.379725149959932e-05
TMDS,7.378830300964906e-05
AI2K,7.376950328741012e-05
ALAR,7.374503127274983e-05
G3PAT161,7.373960632754199e-05
OPHBDC,7.3729808849317e-05
PRPPS,7.372503190310039e-05
DHORTS,7.371070755424517e-05
PDH,7.369994188105672e-05
5DOAN,7.369503947429413e-05
THDPS,7.368182253908758e-05
FACOAE161,7.365305765059317e-05
ACACT7r,7.363382368272598e-05
ADSL2r,7.360847721497708e-05
NDPK1,7.359921868222414e-05
UDCPDP,7.35969406526878e-05
PRAMPC,7.358392078303381e-05
PERD,7.356630854154047e-05
CTECOAI7,7.355195803451649e-05
G3PAT160,7.353473748402547e-05
I2FE2SS2,7.344375468795569e-05
DHFR,7.343981437069329e-05
PSD161,7.339627863431918e-05
MDH,7.339479021534426e-05
ACOAD5f,7.338647331167768e-05
DHDPRy,7.334174014381316e-05
IG3PS,7.329920582631346e-05
RHCCE,7.325416083145021e-05
ECOAH6,7.322790471502089e-05
I2FE2SR,7.321894579519722e-05
SHCHD2,7.311729730070308e-05
IMPD,7.306895075232718e-05
ACACT5r,7.299917303853047e-05
HACD4,7.29886261133892e-05
E4PD,7.295526039360508e-05
OHPBAT,7.289567184424968e-05
ASAD,7.288611698988438e-05
TKT2,7.283143192459533e-05
DAAD,7.279981690022729e-05
4HTHRA,7.274545304163747e-05
AACPS7,7.271352577326795e-05
HACD7,7.269888587878579e-05
ECOAH4,7.23890039522342e-05
HACD5,7.2375303391109e-05
ASPK,7.235474571895778e-05
ACOAD3f,7.223083718482723e-05
AACPS4,7.220416221355311e-05
ECOAH5,7.211099854012094e-05
ECOAH1,7.20903322068313e-05
ACACT2r,7.208130051773238e-05
ACOAD6f,7.197381519223668e-05
ACOAD1fr,7.196095946968198e-05
ACACT6r,7.188675387137809e-05
ACACT1r,7.18709157722437e-05
ECOAH3,7.18413130601213e-05
ACOAD2f,7.181202966812783e-05
4HTHRK,7.180148839413835e-05
ACOAD4f,7.1783684340417e-05
HACD6,7.171739310335508e-05
ACOAD7f,7.167987996689379e-05
HACD2,7.164933987588029e-05
FACOAE120,7.148241495309603e-05
FACOAE160,7.139728688858786e-05
HACD3,7.123973320021346e-05
GARFT,7.12310127354305e-05
ECOAH2,7.114776683295452e-05
HACD1,7.113521077749915e-05
ALATA_L,7.086038133988318e-05
AACPS3,7.061188100369943e-05
ACACT3r,7.047918105296884e-05
NDPK2,7.024846732990724e-05
ACONTb,6.987574241986215e-05
HSDy,6.932428214699408e-05
GLUDy,6.922070465542366e-05
FUM,6.907963764082937e-05
CS,6.87530343648908e-05
SUCDi,6.870966461445743e-05
3OAR140,6.856202629817079e-05
HSK,6.828260864391208e-05
3OAS140,6.820334810114007e-05
ACONTa,6.794488837647469e-05
NADTRHD,6.776317466162176e-05
THRS,6.731699446440255e-05
G3PD2,6.70490567859895e-05
