,Coefficient
UGMDDS,4.089268488840999e-05
I4FE4ST,4.0892328677962763e-05
TRPAS2,4.0891044314063865e-05
UAMAS,4.089074232902139e-05
IMPD,4.0877061648012245e-05
PMPK,4.087404372130121e-05
KDOPS,4.0873433693534156e-05
GMPS,4.0869511133047215e-05
CPPPGO,4.086948725369924e-05
ACHBS,4.0867752444559446e-05
DHQS,4.086742832097675e-05
DXPS,4.0866752189928445e-05
ACGS,4.0862643096921665e-05
NADS1,4.086146674579984e-05
ASP1DC,4.0860448831612845e-05
ACLS,4.0847588271791343e-05
CHORS,4.083098234607386e-05
G3PD2,4.082885900434992e-05
DBTS,4.0825127234162506e-05
MOAT2,4.082473720921298e-05
I2FE2SR,4.080713755030636e-05
DHPS2,4.0806792729937685e-05
KARA2,4.0806722693229644e-05
5DOAN,4.080448353949944e-05
DXPRIi,4.078366281779718e-05
PRASCSi,4.077534472729816e-05
ADSK,4.077221483045618e-05
IMPC,4.0760728394118787e-05
GLUTRS,4.075110616010964e-05
ADNK1,4.0750369775765964e-05
GLUTRR,4.072833622554384e-05
G1PACT,4.071975490097371e-05
UDCPDPS,4.0699827123035276e-05
PRAMPC,4.068079455078314e-05
ANPRT,4.0674793284989026e-05
MEPCT,4.066825979856817e-05
UAGAAT,4.066549555302778e-05
PAPSR,4.065139455897167e-05
SADT2,4.0647826318969825e-05
AIRC3,4.064602459932028e-05
G5SD,4.0617697626649476e-05
IPDPS,4.0611650139826294e-05
PPBNGS,4.0581459886378534e-05
APRAUR,4.05464129969385e-05
GLNS,4.0546356100437096e-05
AIRC2,4.051911325360281e-05
MALCOAMT,4.050401535534843e-05
NADK,4.043665997790039e-05
PRPPS,4.0428422085330046e-05
ICYSDS,4.0419108260590285e-05
SHKK,4.039955445622952e-05
GLUDy,4.039109158193145e-05
AI2K,4.032904089427718e-05
PUNP1,4.032161644615872e-05
TRPS3,4.0316587132188975e-05
ASPTA,4.031504900981195e-05
CBMKr,4.029176415017441e-05
DTMPK,4.026112773831426e-05
ACOTA,4.023623505208748e-05
ECOAH3,4.0187351952208256e-05
HACD3,4.008383909838633e-05
ACOAD4f,4.002228423242181e-05
TRDR,4.0007988202629174e-05
ECOAH2,3.997073193464843e-05
ECOAH7,3.996080442958075e-05
ACACT3r,3.991821428425862e-05
3OAS140,3.989693053237869e-05
ACACT6r,3.989643840674105e-05
ACOAD2f,3.986849892625455e-05
PPPGO3,3.981851755486464e-05
ACOAD1fr,3.979369264763958e-05
HACD2,3.97874296361437e-05
ACACT1r,3.976186648303594e-05
PAI2I,3.975789681899969e-05
ACOAD3f,3.974288919150345e-05
ACOAD5f,3.9699125769416055e-05
HACD4,3.9686037455887187e-05
HACD6,3.967317936363627e-05
ECOAH6,3.9630943065917505e-05
PAI2T,3.961625861590357e-05
ACACT7r,3.9584743797214154e-05
GARFT,3.952524883158477e-05
AACPS3,3.952008781703396e-05
ECOAH1,3.9517359578249664e-05
FACOAE160,3.950991780823751e-05
ACOAD7f,3.950137302050755e-05
FACOAE120,3.944624199176054e-05
HACD5,3.940291368531579e-05
ECOAH4,3.9389568709097026e-05
RPI,3.934288500801489e-05
FACOAE161,3.9333136242840886e-05
ACACT2r,3.932688912947322e-05
ASPO3,3.932293127546741e-05
PERD,3.930434768505006e-05
AACPS7,3.928692558516969e-05
DHORD2,3.92830475936934e-05
HACD1,3.9280454812452135e-05
ACOAD6f,3.923549525256077e-05
AACPS4,3.9076994247986665e-05
ACACT4r,3.905534264226024e-05
