,SHAP value
DHDPS,7.159738676960571e-05
MOAT2,7.159557227904862e-05
UAGAAT,7.159208830206114e-05
ADSS,7.155284738756659e-05
PGAMT,7.155255187268263e-05
QULNS,7.154799066010886e-05
GTPCII2,7.154766908489926e-05
RNTR4c2,7.148466945975638e-05
IPPS,7.1475322511155e-05
TDSK,7.147215686498137e-05
PMDPHT,7.1458326958178e-05
PPC,7.145291306619193e-05
LPADSS,7.140926689481984e-05
ECOAH3,7.139277998543104e-05
DHORTS,7.139028598224442e-05
CHRPL,7.138733366642614e-05
PMEACPE,7.134850073202263e-05
PNTK,7.134482271768773e-05
PAPSR,7.134442487096332e-05
PPBNGS,7.131879955584707e-05
ACOAD1fr,7.131079055628381e-05
ADSK,7.129747123872443e-05
USHD,7.129208252642091e-05
DMPPS,7.128408846363448e-05
ACOAD7f,7.127745762850328e-05
NADS1,7.126755576931544e-05
TRPAS2,7.125696239317847e-05
GLUDy,7.125643482852484e-05
DHPS2,7.125485232317634e-05
PMPK,7.124347667822645e-05
IGPS,7.120922612280859e-05
ACGS,7.120147264239168e-05
PPPGO3,7.119472570308448e-05
PSSA161,7.11942451275162e-05
GK1,7.11887415748245e-05
ACOAD2f,7.117571882596339e-05
OGMEACPS,7.11746308797582e-05
UGMDDS,7.115968020679295e-05
CBMKr,7.115732218582977e-05
PPCDC,7.115632718540568e-05
RHCCE,7.110618887963386e-05
PSD160,7.110217439947905e-05
RNTR1c2,7.106365588029359e-05
DDPA,7.099069589813901e-05
PTPATi,7.098624687459016e-05
THZPSN3,7.091854966539732e-05
MECDPS,7.090252176039504e-05
ECOAH5,7.087718942058117e-05
SHCHD2,7.082781395763098e-05
5DOAN,7.082543837276416e-05
HACD1,7.081956657360193e-05
ECOAH6,7.080280987202127e-05
ECOAH2,7.075236685199885e-05
AGPAT160,7.0738552842929e-05
ASP1DC,7.072577478421943e-05
AMAOTr,7.072372967560807e-05
PHETA1,7.071865730934088e-05
ACLS,7.05878365259967e-05
PDX5PO2,7.052892682871783e-05
ACACT6r,7.051790019116147e-05
AI2K,7.051491114822621e-05
DHNPA2r,7.050964367234043e-05
PDX5PS,7.050948839827291e-05
DNMPPA,7.049311170572023e-05
FACOAE120,7.04760682703078e-05
TRPS3,7.047387861644844e-05
ACOAD3f,7.047150814837826e-05
ACACT3r,7.038633544233095e-05
PAI2I,7.035534441406937e-05
ECOAH4,7.033279876299668e-05
RNTR2c2,7.031533975942825e-05
ACOAD4f,7.0231165060143e-05
MTHFC,7.022776236097397e-05
LEUTAi,7.020545364716772e-05
ACOAD6f,7.017957890072168e-05
AACPS7,7.015386856960604e-05
FUM,7.014952589309045e-05
ACOAD5f,7.014629443718191e-05
ECOAH7,7.008557581285881e-05
ACACT4r,7.005408868570632e-05
AACPS4,7.00209688764954e-05
ADNK1,7.001245750875043e-05
ACACT5r,7.000813914305386e-05
PAI2T,7.00067160322966e-05
HACD3,6.990811433364804e-05
HACD7,6.982482391805584e-05
ECOAH1,6.98035540890918e-05
ACACT1r,6.980208509845341e-05
POR5,6.978395421740589e-05
HACD5,6.978213671721354e-05
HACD2,6.970973352490854e-05
ACONTa,6.970943157488159e-05
AACPS3,6.970635654562789e-05
E4PD,6.967819485752621e-05
CTECOAI7,6.967819236934709e-05
GHMT2r,6.964208928539915e-05
ASAD,6.962996648951744e-05
ASPK,6.953088434474546e-05
I2FE2SR,6.951391467398771e-05
HACD4,6.949487778530504e-05
ICDHyr,6.948146706674042e-05
ACONTb,6.946484413851042e-05
PERD,6.944634549216309e-05
FADRx,6.942855374723268e-05
RNTR3c2,6.921560278169593e-05
FACOAE161,6.921198410299701e-05
ACACT7r,6.919535503064208e-05
DHORD2,6.91719510723329e-05
OHPBAT,6.917103812087671e-05
FACOAE160,6.915816988978208e-05
I2FE2ST,6.907104922267115e-05
ACACT2r,6.897056459936817e-05
CS,6.895715018647774e-05
AKGDH,6.890501063876764e-05
ICYSDS,6.883272860072574e-05
PUNP1,6.879732036932921e-05
I4FE4ST,6.87549357334295e-05
SUCDi,6.872377532775188e-05
ASPO3,6.865335420462288e-05
I2FE2SS2,6.862620221424728e-05
I4FE4SR,6.848750687110409e-05
HACD6,6.830608436948887e-05
HSDy,6.826104804424887e-05
4HTHRA,6.819924309383345e-05
I2FE2SS,6.818272814550062e-05
FBA,6.75014699359401e-05
4HTHRK,6.721993404010342e-05
SUCOAS,6.697789018850904e-05
PFK,6.69298674592021e-05
GARFT,6.595591718895387e-05
3OAS140,6.58969794623822e-05
HSK,6.524890331843748e-05
RPI,6.454712224426219e-05
3OAR140,6.396421444380038e-05
THRS,6.367237390053973e-05
GLYCL,6.330237431802589e-05
MDH,6.184836929830474e-05
PSP_L,6.140300373176141e-05
PGCD,6.0430027879482166e-05
PSERT,6.007506169716272e-05
PDH,5.953829396476837e-05
GND,5.717002573583769e-05
PFK_3,5.534629926371856e-05
FBA3,5.4625690672348984e-05
TKT1,5.3077131629509694e-05
HCO3E,5.0915623440549656e-05
ADK1,5.076215467397754e-05
PGL,4.756502976918864e-05
G6PDH2r,4.752982601415044e-05
RPE,4.7155194165609526e-05
PGI,4.683040345415317e-05
ACKr,4.0448637865869854e-05
PTAr,3.998236386893928e-05
TKT2,3.784752504169857e-05
DHAPT,3.638968436477768e-05
F6PA,3.622285860242581e-05
NDPK3,2.894233862934823e-05
NDPK4,2.363447683743002e-05
NDPK2,2.313333524707245e-05
NDPK1,2.3066136954530825e-05
NADTRHD,1.4661828120179007e-05
ACCOAC,1.1113638449417984e-05
MCOATA,1.095010319989319e-05
LPLIPAL2ATE180,-3.840906557173342e-09
LSERDHr,-4.118190538785975e-09
AAMYL,-4.1948159119961584e-09
DSERDHr,-4.361215787579175e-09
PLIPA1G180pp,-4.520117566153743e-09
PLIPA1E180pp,-4.74885659316151e-09
AMALT1,-4.8742124906231586e-09
GLUNpp,-5.4904203232127425e-09
AMPN,-5.896411837137498e-09
PSD180,-6.678361636948093e-09
G6PP,-7.306930783928235e-09
DASYN180,-7.518149025145493e-09
FA160ACPHi,-7.520086295466835e-09
PSSA180,-8.041205194842808e-09
SPODMpp,-8.710615189439343e-09
PEAMNOpp,-8.826630407868215e-09
AMALT3,-1.0305042398775343e-08
ADNUC,-1.1244109673295271e-08
TRPS1,-1.1737501857569055e-08
MLTP1,-1.9972803502551407e-08
R5PP,-2.0560942617942602e-08
INOSTO,-2.109931239181072e-08
FESD2s,-2.3537282874832673e-08
ASPO4,-3.1531168323196565e-08
PTHRpp,-3.2945085304119264e-08
MLTG4,-4.5117682127926015e-08
AAMYLpp,-4.9375026230745564e-08
PDX5POi,-7.478828354724741e-08
PPPGO,-9.883658940044596e-08
PFL,-1.3618202866276658e-07
CLPNS180pp,-2.879353331978789e-07
MOX,-2.9098089403218925e-07
NADHPO,-2.9337244093305644e-07
CLPNH180pp,-3.043794028543757e-07
23PDE7pp,-3.448895568119175e-07
R5PPpp,-3.6988600529852866e-07
OPHHXy,-3.701577989308022e-07
