,SHAP value
AGPAT161,7.617146525905758e-05
IPPMIa,7.616991871734952e-05
PRFGS,7.615923059878803e-05
RNTR1c2,7.61532866920942e-05
TALA,7.613793140156386e-05
LEUTAi,7.613488355296949e-05
CPPPGO,7.613214314051732e-05
PPBNGS,7.611918270909222e-05
AGPAT160,7.611577171437083e-05
ATPPRT,7.610163601314717e-05
OMCDC,7.610064638297675e-05
DXPRIi,7.608686350420086e-05
OCTDPS,7.6076559261113e-05
ACLS,7.607177580871368e-05
CBMKr,7.606083947184828e-05
AICART,7.605953057201494e-05
NDPK2,7.605744282846282e-05
GLNS,7.605655167936733e-05
ADSL1r,7.604405222997774e-05
ASPTA,7.602667340013164e-05
GLUTRR,7.602200563859121e-05
G3PAT160,7.601850380665116e-05
DMATT,7.601209590682751e-05
I4FE4ST,7.599996296087043e-05
PSD160,7.599740932884703e-05
SADT2,7.599109279065081e-05
CHORS,7.599028203117398e-05
UPP3MT,7.598271234644295e-05
SHK3Dr,7.596880795044327e-05
A5PISO,7.596579315777882e-05
ASPCT,7.595924352332058e-05
OCBT,7.595446644658017e-05
UHGADA,7.594771068154094e-05
TYRL,7.593293295643871e-05
DASYN160,7.592343949934032e-05
IGPDH,7.591677840411334e-05
AMAOTr,7.591571673575304e-05
TPI,7.590768911197965e-05
MOAT2,7.589026072598309e-05
PGK,7.588182211023621e-05
BPNT,7.587515629534433e-05
RPE,7.581661416166129e-05
MECDPS,7.581548384982184e-05
RBFSa,7.58062191141073e-05
GAPD,7.580145874203328e-05
PAPPT3,7.579381971203864e-05
UAMAS,7.576899506443686e-05
PAPSR,7.576602583629492e-05
DB4PS,7.576118702024183e-05
G3PD2,7.573831423078794e-05
UAGPT3,7.573495927537653e-05
DASYN161,7.565460711133076e-05
MOAT,7.560397872806829e-05
I2FE2SS2,7.560281575932614e-05
PSSA161,7.559633139500992e-05
NDPK4,7.558707637695708e-05
I4FE4SR,7.556535135890005e-05
LPADSS,7.55030512616946e-05
ICYSDS,7.549106072142185e-05
PDX5PO2,7.541290176946787e-05
FESD1s,7.537197115972446e-05
GLU5K,7.537051692013325e-05
I2FE2SS,7.534616690479774e-05
ADCS,7.53420088429946e-05
ASPO6,7.531991765765936e-05
UAAGDS,7.529808099154149e-05
ASAD,7.526429941626049e-05
ADCL,7.512820600328388e-05
ADNK1,7.51267566682119e-05
DHORD2,7.510240715459769e-05
5DOAN,7.490729295909636e-05
SPODM,7.489195074867301e-05
ASPK,7.486301935189891e-05
OHPBAT,7.484197881426903e-05
RNTR4c2,7.462071937031008e-05
PAI2I,7.460138124214892e-05
PAI2T,7.430098696134997e-05
E4PD,7.418627682248961e-05
AI2K,7.407525928342139e-05
4HTHRK,7.405396491337711e-05
SUCDi,7.402380371661642e-05
PERD,7.388820216974708e-05
ACOAD3f,7.365975545147157e-05
CS,7.359360671079927e-05
RNTR3c2,7.344547192529298e-05
ACONTa,7.342054478794963e-05
ECOAH7,7.325434149131549e-05
ACONTb,7.315921128798052e-05
HACD3,7.31398673550063e-05
ACACT4r,7.305947130536079e-05
ACACT3r,7.304275060997267e-05
ACOAD1fr,7.287095653543975e-05
HACD2,7.284021285804803e-05
TRDR,7.27266103698384e-05
HSDy,7.272213457909529e-05
ACOAD6f,7.271123577538427e-05
HACD6,7.258993503735086e-05
ACACT2r,7.249396502741929e-05
ACOAD7f,7.239436959621833e-05
FACOAE161,7.232216641688876e-05
ECOAH1,7.230393093234704e-05
ACOAD5f,7.228727510898897e-05
ACACT6r,7.228524056070401e-05
RNTR2c2,7.226445761731872e-05
4HTHRA,7.225743184212675e-05
ECOAH6,7.225477167297148e-05
ACACT1r,7.224727113493685e-05
ECOAH2,7.222996391703701e-05
ECOAH4,7.2201571425247e-05
ACOAD2f,7.217326355424787e-05
ECOAH5,7.216949324531985e-05
ACOAD4f,7.213353717344605e-05
ECOAH3,7.213089298990617e-05
FUM,7.210149704973028e-05
AACPS7,7.195886569373845e-05
ACACT5r,7.190025924905583e-05
HACD5,7.190023832004489e-05
HACD1,7.174128607607342e-05
FACOAE160,7.173252998331836e-05
ACACT7r,7.172014993852274e-05
CTECOAI7,7.163284504505807e-05
AACPS3,7.146617958400123e-05
HACD7,7.137011262346243e-05
GARFT,7.132383957117233e-05
3OAS140,7.130000933852236e-05
FACOAE120,7.125486804713749e-05
AACPS4,7.094310123655046e-05
THRS,7.093193325538533e-05
HACD4,7.0900414179711e-05
3OAR140,7.060986344654269e-05
HSK,7.04479280061918e-05
ICDHyr,7.022354917784459e-05
PRPPS,6.964951062149409e-05
AKGDH,6.942091550099432e-05
GLUDy,6.8613059230137e-05
SUCOAS,6.854840024300529e-05
MDH,6.773463273358329e-05
PDH,6.536895154626759e-05
GART,6.487525075036786e-05
NADTRHD,5.9787668205619616e-05
ENO,5.708155107590226e-05
PGM,5.7027629921621275e-05
ADK1,5.583725069287781e-05
HCO3E,5.5663663519179025e-05
ICL,3.9994190430979535e-05
MALS,3.977801427658541e-05
QMO3,3.504076985248072e-05
PPS,3.4931155994897556e-05
PSP_L,3.365538637695776e-05
PGCD,3.348140571058179e-05
PSERT,3.325878334383662e-05
POR5,2.7024473124976887e-05
FADRx,2.6301899942351378e-05
GHMT2r,2.306628984259072e-05
PPCK,1.7846453257870708e-05
ACCOAC,1.2313020340527721e-05
MCOATA,1.2079997413666165e-05
MTHFC,9.136190321386367e-06
MTHFD,9.075448491651996e-06
PPPGO,-3.601601426864973e-07
PDX5POi,-3.6273392494138544e-07
OPHHXy,-4.446154181633596e-06
MOX,-4.5294316260273206e-06
NADHPO,-4.606208139611488e-06
