,SHAP value
RBFSb,8.504580219182428e-05
ANS,8.504469200197228e-05
LEUTAi,8.503490089801008e-05
IPMD,8.503003662082693e-05
ORPT,8.502887911284467e-05
GLUPRT,8.501896205899302e-05
UPPDC1,8.50048457047042e-05
PAI2I,8.49920356108197e-05
ACHBS,8.4986019562285e-05
THRD_L,8.498248157358863e-05
SERAT,8.498242714869217e-05
TDSK,8.497949565935289e-05
GLUTRS,8.497796482297738e-05
PPND,8.496063024527428e-05
OMCDC,8.494957258484159e-05
UHGADA,8.494806437512833e-05
GAPD,8.493586998841436e-05
DPCOAK,8.493327582747087e-05
DBTS,8.492838073598096e-05
PPBNGS,8.49244054568015e-05
ILETA,8.490271462544345e-05
PERD,8.48969558052228e-05
PHETA1,8.489205545227186e-05
ATPPRT,8.488747558190756e-05
OGMEACPR,8.48841077255828e-05
GLNS,8.484847236530804e-05
5DOAN,8.482244679701803e-05
NNDPR,8.480946350990172e-05
ACOTA,8.47909314916778e-05
KDOCT2,8.478609315982526e-05
KDOPP,8.477953406648145e-05
G3PD2,8.477814353140541e-05
DHFS,8.477455122953456e-05
APRAUR,8.47688467853452e-05
OPMEACPD,8.475367606641449e-05
PMDPHT,8.475040428997175e-05
IG3PS,8.473158312068741e-05
NNATr,8.469794029512532e-05
USHD,8.469737969778533e-05
DASYN160,8.468911819056634e-05
PAPSR,8.468412357096808e-05
CPPPGO,8.467412430894833e-05
TRPAS2,8.467197523489336e-05
CYSTL,8.466391228266209e-05
PRPPS,8.46592967712452e-05
4HTHRK,8.465055147424691e-05
PSD161,8.464042132351446e-05
G1PACT,8.462074641718746e-05
ASPCT,8.457360145102485e-05
4HTHRA,8.45520932583456e-05
GLU5K,8.451698502169088e-05
CHRPL,8.451559194959556e-05
CBMKr,8.450483457233538e-05
PPPGO3,8.44574976818799e-05
UPP3MT,8.443536635508741e-05
PRAMPC,8.438057423823402e-05
RNTR1c2,8.436428744407857e-05
KDOPS,8.435161601763556e-05
ADSL2r,8.434833495085912e-05
VPAMTr,8.427845870627966e-05
ASPTA,8.422485335772838e-05
AI2K,8.420149095103691e-05
METAT,8.415875898591718e-05
NDPK1,8.408995794333864e-05
IMPD,8.407467395415966e-05
PRATPP,8.399062337589245e-05
MCTP1App,8.392882660044568e-05
I2FE2SR,8.381054559501274e-05
I2FE2ST,8.360841555571277e-05
I2FE2SS,8.32996538309807e-05
ASPK,8.325573733681381e-05
ASAD,8.321368793870769e-05
I2FE2SS2,8.299572619299093e-05
PUNP1,8.296834509211788e-05
I4FE4ST,8.292251541359023e-05
HACD3,8.267422201769974e-05
HACD1,8.265145821998223e-05
ICYSDS,8.261547736818119e-05
ACACT4r,8.252569299392445e-05
ACACT1r,8.249836907628735e-05
I4FE4SR,8.244178720596985e-05
ACOAD2f,8.242614623276948e-05
FACOAE160,8.240589655719594e-05
ACOAD7f,8.233173175577123e-05
ECOAH3,8.222981345382065e-05
ECOAH1,8.222940508190228e-05
FACOAE120,8.222356310339848e-05
ADNK1,8.216542984300891e-05
ACOAD3f,8.206471587304433e-05
ECOAH4,8.204034775447587e-05
HACD4,8.194168480123134e-05
