,Coefficient
IPDPS,9.914250548637282e-05
NNDPR,9.913935727173798e-05
MECDPS,9.913411308903886e-05
LEUTAi,9.913048841933107e-05
PAI2I,9.912316704819026e-05
RBFK,9.910981535742698e-05
DUTPDP,9.910483886817255e-05
ORPT,9.909619191091851e-05
TDSK,9.907989977401076e-05
U23GAAT,9.907973688918112e-05
AGPAT161,9.906636424563328e-05
SHK3Dr,9.904863990447426e-05
UAAGDS,9.903767523808777e-05
OPMEACPD,9.903644585513949e-05
PAPPT3,9.902598513708337e-05
UAGPT3,9.902430795426871e-05
PMPK,9.896523593795109e-05
OGMEACPS,9.89613590679519e-05
IPPMIa,9.89488725573718e-05
PAI2T,9.89478572050201e-05
DHORTS,9.894582606039928e-05
G3PAT160,9.892272119265285e-05
MECDPDH5,9.891586048414798e-05
4HTHRA,9.888818097189678e-05
USHD,9.887786767753485e-05
PSCVT,9.886116689166191e-05
CYSS,9.885660519488972e-05
NNATr,9.88345888388035e-05
DHDPS,9.881299463629638e-05
AOXSr2,9.88016909324964e-05
AI2K,9.874832522006011e-05
KDOCT2,9.87436617280922e-05
MALCOAMT,9.87301595767861e-05
ICYSDS,9.872503511062411e-05
THRD_L,9.871576731185021e-05
ADSL2r,9.871182537540024e-05
UAGAAT,9.867288536239843e-05
MEPCT,9.86596563033805e-05
ADCS,9.863514446114248e-05
IPPS,9.860811083562762e-05
ACGK,9.860763752866221e-05
ACOTA,9.858001981505904e-05
PPA,9.857811576484158e-05
QULNS,9.85653648283691e-05
I2FE2SS2,9.856447379766675e-05
ALATA_L,9.85593481141736e-05
ALAR,9.854968333275767e-05
IPMD,9.854412576057163e-05
I2FE2SR,9.85438331429812e-05
G3PD2,9.853588637794442e-05
RNTR3c2,9.844945312200345e-05
RNTR4c2,9.834945933268702e-05
ADNK1,9.83441840447892e-05
DAPE,9.834241819240725e-05
IGPS,9.831930643783709e-05
VALTA,9.828959109409844e-05
UAGDP,9.823360505941809e-05
IMPD,9.817368606366696e-05
RNTR1c2,9.816851100338648e-05
MTHFC,9.809153707853593e-05
ASPTA,9.787030007728797e-05
ADSK,9.784975937092295e-05
5DOAN,9.784721106673088e-05
P5CR,9.777867943765502e-05
PUNP1,9.757523253376596e-05
PPPGO3,9.756408932904307e-05
PPC,9.719978040928998e-05
4HTHRK,9.709823201932801e-05
FUM,9.707281821159434e-05
AACPS4,9.702224103437e-05
SUCDi,9.668969875458154e-05
CS,9.66640000458484e-05
ACONTb,9.660405276485917e-05
HACD4,9.656450632089712e-05
ECOAH4,9.635961754510537e-05
ACACT7r,9.634922462830604e-05
ECOAH7,9.610840503870014e-05
ACOAD5f,9.606169564199522e-05
ACONTa,9.592853843935004e-05
GARFT,9.586015403376924e-05
ICDHyr,9.580089169953792e-05
CTECOAI7,9.574593787931037e-05
AACPS3,9.56361012029951e-05
HACD6,9.55835307848363e-05
ACOAD6f,9.554573925343738e-05
ACACT6r,9.545402354872993e-05
HACD2,9.54443021324188e-05
ACOAD3f,9.543555055829697e-05
ACACT5r,9.534586865422035e-05
ACACT2r,9.530106950138463e-05
ECOAH2,9.516813069857845e-05
3OAR140,9.515998469375185e-05
ACACT4r,9.514195145036927e-05
ACOAD4f,9.512846706729867e-05
FADRx,9.512248637789427e-05
ECOAH6,9.503246238751381e-05
FACOAE161,9.49588509773915e-05
ACOAD1fr,9.488121032823674e-05
AACPS7,9.485544947153428e-05
ECOAH5,9.471958919058224e-05
